order_id,product_id,region,quantity,order_date,status
ORD-100078,P005,West,5.0,2026-02-23,COMPLETED
ORD-100079,P008,West,5.0,2026-04-24,cancelled
ORD-100080,P003,North,5.0,2026-06-18,COMPLETED
ORD-100081,P002,East,2.0,2026-03-02,Completed
ORD-100082,P001,South,5.0,2026-01-12,completed
ORD-100083,P008,South,4.0,2026-04-17,cancelled
ORD-100084,P007,South,1.0,2026-03-04,completed
ORD-100085,P007,South,5.0,2026-02-26,cancelled
ORD-100086,P001,South,1.0,2026-05-23,cancelled
ORD-100087,P003,East,4.0,2026-04-29,pending
ORD-100088,P009,West,4.0,2026-04-20,cancelled
ORD-100089,P005,East,5.0,2026-03-05,cancelled
ORD-100090,P004,West,3.0,2026-03-12,Completed
ORD-100091,P005,East,1.0,2026-03-27,Completed
ORD-100092,P003,West,2.0,2026-03-01,completed
ORD-100093,P007,East,4.0,2026-04-15,completed
ORD-100094,P004,West,5.0,2026-04-18,completed
ORD-100095,P010,West,,2026-04-08,COMPLETED
ORD-100096,P005,West,5.0,2026-04-10,pending
ORD-100097,P004,South,4.0,2026-05-05,completed
ORD-100098,P007,West,4.0,2026-03-28,Completed
ORD-100099,P010,North,5.0,2026-05-17,pending
ORD-100100,P001,West,4.0,2026-01-22,Completed
ORD-100101,P001,West,4.0,2026-03-08,COMPLETED
ORD-100102,P006,East,4.0,2026-04-08,COMPLETED
ORD-100103,P002,North,1.0,2026-05-01,COMPLETED
ORD-100104,P004,North,1.0,2026-06-16,completed
ORD-100105,P004,North,2.0,2026-02-21,Completed
ORD-100106,P008,North,2.0,2026-06-21,cancelled
ORD-100107,P005,South,1.0,2026-04-05,Completed
ORD-100108,P005,North,5.0,2026-01-28,cancelled
ORD-100109,P007,North,2.0,2026-02-20,completed
ORD-100110,P005,North,5.0,2026-06-25,completed
ORD-100111,P006,West,1.0,2026-05-17,pending
ORD-100112,P006,West,1.0,2026-01-04,cancelled
ORD-100113,P006,West,4.0,2026-06-12,Completed
ORD-100114,P009,East,5.0,2026-06-16,cancelled
ORD-100115,P008,East,2.0,2026-04-22,completed
ORD-100116,P005,South,5.0,2026-04-26,pending
ORD-100117,P007,North,3.0,2026-03-28,Completed
ORD-100118,P008,East,3.0,2026-02-24,COMPLETED
ORD-100119,P010,East,5.0,2026-06-29,Completed
ORD-100120,P002,West,2.0,2026-03-03,cancelled
ORD-100121,P008,North,2.0,2026-04-25,cancelled
ORD-100122,P004,East,5.0,2026-03-20,COMPLETED
ORD-100123,P007,East,4.0,2026-05-21,COMPLETED
ORD-100124,P005,South,2.0,2026-03-06,COMPLETED
ORD-100125,P002,South,4.0,2026-05-18,COMPLETED
ORD-100126,P010,East,2.0,2026-05-15,COMPLETED
ORD-100127,P004,South,5.0,2026-04-03,Completed
ORD-100128,P005,North,2.0,2026-01-12,cancelled
ORD-100129,P002,East,4.0,2026-01-04,COMPLETED
ORD-100130,P003,East,4.0,2026-01-14,completed
ORD-100131,P002,West,1.0,2026-04-13,Completed
ORD-100132,P003,East,2.0,2026-05-25,completed
ORD-100133,P009,South,4.0,2026-04-17,cancelled
ORD-100134,P008,West,5.0,2026-03-18,completed
ORD-100135,P010,South,3.0,2026-01-26,completed
ORD-100136,P003,South,2.0,2026-03-03,completed
ORD-100137,P007,West,2.0,2026-04-26,COMPLETED
ORD-100138,P005,West,2.0,2026-06-29,COMPLETED
ORD-100139,P010,South,5.0,2026-06-19,Completed
ORD-100140,P003,South,2.0,2026-03-10,COMPLETED
ORD-100141,P010,East,4.0,2026-05-26,COMPLETED
ORD-100142,P007,West,5.0,2026-03-11,completed
ORD-100143,P007,East,,2026-03-24,Completed
ORD-100144,P010,North,3.0,2026-05-31,pending
ORD-100145,P001,West,4.0,2026-02-14,COMPLETED
ORD-100146,P003,West,4.0,2026-05-30,completed
ORD-100147,P008,West,1.0,2026-03-31,Completed
ORD-100148,P006,West,4.0,2026-04-16,pending
ORD-100149,P001,North,3.0,2026-04-27,completed
ORD-100150,P007,North,5.0,2026-05-12,cancelled
ORD-100151,P007,South,5.0,2026-01-14,cancelled
ORD-100152,P008,South,2.0,2026-01-14,COMPLETED
ORD-100153,P008,West,5.0,2026-06-28,Completed
ORD-100154,P003,North,1.0,2026-03-21,Completed
ORD-100155,P002,North,2.0,2026-04-29,cancelled
ORD-100156,P005,East,4.0,2026-05-11,cancelled
ORD-100157,P004,South,5.0,2026-04-27,pending
ORD-100158,P003,East,4.0,2026-01-18,COMPLETED
ORD-100159,P009,North,3.0,2026-03-10,pending
ORD-100160,P010,West,4.0,2026-06-18,pending
ORD-100161,P008,East,5.0,2026-03-30,cancelled
ORD-100162,P008,South,2.0,2026-03-24,pending
ORD-100163,P007,West,4.0,2026-03-01,cancelled
ORD-100164,P007,South,1.0,2026-06-19,Completed
ORD-100165,P009,East,4.0,2026-06-01,completed
ORD-100166,P009,North,4.0,2026-04-27,Completed
ORD-100167,P002,East,4.0,2026-05-01,completed
ORD-100168,P006,West,4.0,2026-06-22,pending
ORD-100169,P001,North,3.0,2026-06-08,Completed
ORD-100170,P002,North,1.0,2026-04-22,cancelled
ORD-100171,P003,East,1.0,2026-06-27,COMPLETED
ORD-100172,P001,East,2.0,2026-03-17,Completed
ORD-100173,P009,South,1.0,2026-04-16,pending
ORD-100174,P007,South,5.0,2026-06-08,Completed
ORD-100175,P004,East,1.0,2026-04-29,cancelled
ORD-100176,P005,South,3.0,2026-06-23,pending
ORD-100177,P005,West,4.0,2026-06-13,COMPLETED
ORD-100178,P004,West,4.0,2026-04-09,pending
ORD-100179,P006,East,3.0,2026-05-28,completed
ORD-100180,P007,North,1.0,2026-03-12,pending
ORD-100181,P008,South,3.0,2026-03-15,Completed
ORD-100182,P004,East,2.0,2026-06-08,completed
ORD-100183,P001,West,3.0,2026-03-21,Completed
ORD-100184,P002,East,2.0,2026-03-17,Completed
ORD-100185,P003,East,3.0,2026-05-19,Completed
ORD-100186,P005,East,3.0,2026-05-04,completed
ORD-100187,P008,South,2.0,2026-01-20,cancelled
ORD-100188,P009,North,1.0,2026-04-04,COMPLETED
ORD-100189,P009,West,3.0,2026-02-01,pending
ORD-100190,P007,East,2.0,2026-06-13,cancelled
ORD-100191,P001,East,2.0,2026-06-08,completed
ORD-100192,P008,East,1.0,2026-06-29,Completed
ORD-100193,P001,East,1.0,2026-01-10,completed
ORD-100194,P004,South,3.0,2026-05-18,pending
ORD-100195,P007,South,1.0,2026-05-31,cancelled
ORD-100196,P010,East,3.0,2026-04-15,Completed
ORD-100197,P008,South,1.0,2026-04-24,COMPLETED
ORD-100198,P009,East,3.0,2026-06-15,Completed
ORD-100199,P002,North,5.0,2026-04-27,completed
ORD-100200,P001,South,5.0,2026-03-27,Completed
ORD-100201,P002,South,2.0,2026-05-22,COMPLETED
ORD-100202,P003,North,2.0,2026-06-02,Completed
ORD-100203,P009,South,1.0,2026-03-06,Completed
ORD-100204,P001,South,1.0,2026-04-02,Completed
ORD-100205,P005,South,5.0,2026-01-14,completed
ORD-100206,P002,West,5.0,2026-05-02,pending
ORD-100207,P002,South,1.0,2026-04-26,pending
ORD-100208,P005,North,4.0,2026-04-28,cancelled
ORD-100209,P007,North,4.0,2026-06-25,completed
ORD-100210,P002,South,3.0,2026-03-24,pending
ORD-100211,P010,East,5.0,2026-05-21,pending
ORD-100212,P005,West,1.0,2026-04-27,pending
ORD-100213,P004,West,4.0,2026-04-21,COMPLETED
ORD-100214,P008,West,3.0,2026-04-13,cancelled
ORD-100215,P006,East,2.0,2026-06-20,cancelled
ORD-100216,P002,North,1.0,2026-01-24,COMPLETED
ORD-100217,P003,North,5.0,2026-05-23,pending
ORD-100218,P006,North,4.0,2026-06-21,completed
ORD-100219,P005,East,5.0,2026-06-03,pending
ORD-100220,P004,West,1.0,2026-02-09,COMPLETED
ORD-100221,P009,North,5.0,2026-04-05,Completed
ORD-100222,P007,North,3.0,2026-05-24,completed
ORD-100223,P003,East,3.0,2026-03-11,completed
ORD-100224,P003,West,1.0,2026-02-06,completed
ORD-100225,P009,West,3.0,2026-02-25,Completed
ORD-100226,P006,East,5.0,2026-03-21,pending
ORD-100227,P002,South,5.0,2026-01-14,completed
ORD-100228,P002,West,4.0,2026-03-11,pending
ORD-100229,P008,East,5.0,2026-04-17,completed
ORD-100230,P006,North,5.0,2026-04-21,cancelled
ORD-100231,P009,East,4.0,2026-06-20,pending
ORD-100232,P001,South,2.0,2026-01-02,Completed
ORD-100233,P005,East,4.0,2026-03-16,cancelled
ORD-100234,P003,West,2.0,2026-02-03,pending
ORD-100235,P009,East,1.0,2026-06-21,cancelled
ORD-100236,P001,North,5.0,2026-04-28,cancelled
ORD-100237,P010,West,4.0,2026-04-14,completed
ORD-100238,P006,West,3.0,2026-02-13,completed
ORD-100239,P007,South,4.0,2026-01-28,pending
ORD-100240,P002,East,2.0,2026-04-12,COMPLETED
ORD-100241,P003,North,2.0,2026-01-20,COMPLETED
ORD-100242,P006,South,2.0,2026-06-15,COMPLETED
ORD-100243,P004,South,1.0,2026-02-14,Completed
ORD-100244,P008,West,5.0,2026-04-29,pending
ORD-100245,P006,East,1.0,2026-06-10,cancelled
ORD-100246,P008,East,5.0,2026-06-11,completed
ORD-100247,P006,North,4.0,2026-05-10,completed
ORD-100248,P001,East,1.0,2026-04-05,pending
ORD-100249,P010,West,5.0,2026-05-10,completed
ORD-100250,P008,South,4.0,2026-05-27,pending
ORD-100251,P003,West,3.0,2026-01-16,completed
ORD-100252,P009,South,4.0,2026-06-15,cancelled
ORD-100253,P009,South,3.0,2026-05-14,cancelled
ORD-100254,P007,North,3.0,2026-03-28,completed
ORD-100255,P006,West,5.0,2026-01-25,Completed
ORD-100256,P006,South,3.0,2026-01-21,cancelled
ORD-100257,P003,North,4.0,2026-06-02,COMPLETED
ORD-100258,P003,North,4.0,2026-06-21,pending
ORD-100259,P006,East,2.0,2026-01-05,COMPLETED
ORD-100260,P008,South,2.0,2026-02-19,completed
ORD-100261,P005,North,5.0,2026-01-26,Completed
ORD-100262,P010,South,5.0,2026-04-07,Completed
ORD-100263,P008,West,2.0,2026-01-12,cancelled
ORD-100264,P010,West,2.0,2026-03-14,COMPLETED
ORD-100265,P008,East,5.0,2026-02-19,cancelled
ORD-100266,P008,West,4.0,2026-03-14,Completed
ORD-100267,P004,South,1.0,2026-06-04,cancelled
ORD-100268,P006,North,5.0,2026-05-22,completed
ORD-100269,P005,South,5.0,2026-01-22,Completed
ORD-100270,P007,South,3.0,2026-01-24,completed
ORD-100271,P007,West,2.0,2026-01-14,cancelled
ORD-100272,P002,South,,2026-04-06,completed
ORD-100273,P006,South,4.0,2026-02-07,Completed
ORD-100274,P008,North,1.0,2026-04-25,COMPLETED
ORD-100275,P004,West,3.0,2026-02-08,Completed
ORD-100276,P005,North,5.0,2026-02-01,cancelled
ORD-100277,P002,West,1.0,2026-01-29,pending
ORD-100278,P010,South,1.0,2026-03-03,pending
ORD-100279,P006,West,1.0,2026-03-03,pending
ORD-100280,P006,North,4.0,2026-01-18,completed
ORD-100281,P007,East,3.0,2026-04-06,completed
ORD-100282,P006,North,3.0,2026-03-03,Completed
ORD-100283,P001,East,2.0,2026-04-01,cancelled
ORD-100284,P008,South,1.0,2026-06-11,cancelled
ORD-100285,P001,South,2.0,2026-03-17,completed
ORD-100286,P006,West,5.0,2026-03-21,cancelled
ORD-100287,P005,South,1.0,2026-01-10,COMPLETED
ORD-100288,P005,East,4.0,2026-02-01,cancelled
ORD-100289,P007,South,4.0,2026-03-28,COMPLETED
ORD-100290,P009,North,1.0,2026-03-10,cancelled
ORD-100291,P010,East,1.0,2026-02-16,COMPLETED
ORD-100292,P005,West,4.0,2026-03-20,Completed
ORD-100293,P008,West,3.0,2026-03-31,pending
ORD-100294,P007,North,4.0,2026-03-12,COMPLETED
ORD-100295,P009,South,2.0,2026-06-23,pending
ORD-100296,P008,South,3.0,2026-01-09,COMPLETED
ORD-100297,P007,North,4.0,2026-05-26,COMPLETED
ORD-100298,P006,North,5.0,2026-04-24,COMPLETED
ORD-100299,P007,East,1.0,2026-03-22,completed
ORD-100300,P003,West,1.0,2026-05-08,COMPLETED
ORD-100301,P005,West,5.0,2026-06-30,COMPLETED
ORD-100302,P008,North,1.0,2026-02-21,cancelled
ORD-100303,P003,North,3.0,2026-04-24,COMPLETED
ORD-100304,P002,East,2.0,2026-05-21,Completed
ORD-100305,P006,South,2.0,2026-05-11,Completed
ORD-100306,P004,North,5.0,2026-05-07,COMPLETED
ORD-100307,P008,South,1.0,2026-05-22,completed
ORD-100308,P005,West,4.0,2026-04-12,pending
ORD-100309,P002,East,4.0,2026-02-02,cancelled
ORD-100310,P009,South,5.0,2026-03-30,pending
ORD-100311,P003,West,1.0,2026-02-03,completed
ORD-100312,P009,East,3.0,2026-02-09,Completed
ORD-100313,P006,East,3.0,2026-05-13,Completed
ORD-100314,P009,South,5.0,2026-03-12,pending
ORD-100315,P002,South,5.0,2026-05-09,Completed
ORD-100316,P003,East,5.0,2026-06-18,completed
ORD-100317,P001,North,5.0,2026-01-21,COMPLETED
ORD-100318,P004,West,1.0,2026-05-27,cancelled
ORD-100319,P009,East,4.0,2026-03-16,COMPLETED
ORD-100320,P008,North,4.0,2026-01-19,cancelled
ORD-100321,P008,East,3.0,2026-02-22,COMPLETED
ORD-100322,P006,South,5.0,2026-04-13,pending
ORD-100323,P002,South,3.0,2026-03-23,cancelled
ORD-100324,P004,North,4.0,2026-02-06,pending
ORD-100325,P007,South,5.0,2026-03-05,COMPLETED
ORD-100326,P004,West,4.0,2026-02-10,cancelled
ORD-100327,P005,North,4.0,2026-05-08,pending
ORD-100328,P008,South,1.0,2026-03-03,completed
ORD-100329,P005,West,1.0,2026-05-07,completed
ORD-100330,P007,East,4.0,2026-02-04,COMPLETED
ORD-100331,P001,North,2.0,2026-04-13,COMPLETED
ORD-100332,P009,North,4.0,2026-03-15,pending
ORD-100333,P005,North,1.0,2026-06-09,cancelled
ORD-100334,P006,East,2.0,2026-03-28,pending
ORD-100335,P009,North,2.0,2026-04-13,COMPLETED
ORD-100336,P008,West,5.0,2026-05-13,Completed
ORD-100337,P006,East,5.0,2026-06-06,COMPLETED
ORD-100338,P010,West,3.0,2026-03-28,cancelled
ORD-100339,P001,East,4.0,2026-04-05,pending
ORD-100340,P005,North,3.0,2026-06-26,pending
ORD-100341,P010,North,2.0,2026-02-28,pending
ORD-100342,P010,South,2.0,2026-04-08,completed
ORD-100343,P010,North,4.0,2026-06-29,COMPLETED
ORD-100344,P007,West,4.0,2026-02-08,pending
ORD-100345,P010,North,5.0,2026-05-01,Completed
ORD-100346,P009,West,3.0,2026-03-25,Completed
ORD-100347,P008,East,3.0,2026-05-17,pending
ORD-100348,P008,South,3.0,2026-02-19,Completed
ORD-100349,P005,South,4.0,2026-03-15,COMPLETED
ORD-100350,P008,East,5.0,2026-03-31,pending
ORD-100351,P007,East,2.0,2026-04-12,COMPLETED
ORD-100352,P001,North,4.0,2026-03-15,COMPLETED
ORD-100353,P008,South,3.0,2026-02-24,pending
ORD-100354,P005,North,5.0,2026-02-05,Completed
ORD-100355,P004,South,1.0,2026-01-13,completed
ORD-100356,P007,West,2.0,2026-03-26,completed
ORD-100357,P009,West,4.0,2026-02-10,cancelled
ORD-100358,P004,East,1.0,2026-03-15,completed
ORD-100359,P010,North,2.0,2026-03-01,cancelled
ORD-100360,P003,West,2.0,2026-01-10,COMPLETED
ORD-100361,P001,East,1.0,2026-01-03,COMPLETED
ORD-100362,P005,West,2.0,2026-04-27,pending
ORD-100363,P008,South,3.0,2026-03-11,Completed
ORD-100364,P008,East,1.0,2026-06-15,COMPLETED
ORD-100365,P005,South,4.0,2026-05-26,cancelled
ORD-100366,P009,North,1.0,2026-03-25,Completed
ORD-100367,P003,East,1.0,2026-05-03,COMPLETED
ORD-100368,P007,West,3.0,2026-03-02,COMPLETED
ORD-100369,P010,North,3.0,2026-05-27,Completed
ORD-100370,P001,North,2.0,2026-06-20,cancelled
ORD-100371,P009,East,3.0,2026-06-30,COMPLETED
ORD-100372,P010,South,4.0,2026-02-26,Completed
ORD-100373,P008,East,5.0,2026-06-05,cancelled
ORD-100374,P009,South,5.0,2026-06-20,completed
ORD-100375,P009,East,5.0,2026-04-25,completed
ORD-100376,P001,South,2.0,2026-05-21,Completed
ORD-100377,P006,West,2.0,2026-05-14,pending
ORD-100378,P008,West,4.0,2026-01-24,Completed
ORD-100379,P009,West,5.0,2026-04-17,cancelled
ORD-100380,P005,West,1.0,2026-01-06,Completed
ORD-100381,P010,North,1.0,2026-01-19,pending
ORD-100382,P001,West,4.0,2026-01-18,Completed
ORD-100383,P003,West,4.0,2026-06-14,cancelled
ORD-100384,P007,North,5.0,2026-04-07,Completed
ORD-100385,P006,South,4.0,2026-01-31,pending
ORD-100386,P003,North,3.0,2026-02-27,cancelled
ORD-100387,P009,West,2.0,2026-04-19,cancelled
ORD-100388,P006,East,1.0,2026-02-09,completed
ORD-100389,P007,North,1.0,2026-06-07,completed
ORD-100390,P010,West,1.0,2026-01-09,Completed
ORD-100391,P001,West,2.0,2026-04-13,completed
ORD-100392,P003,East,5.0,2026-05-09,COMPLETED
ORD-100393,P010,East,2.0,2026-06-03,pending
ORD-100394,P004,East,5.0,2026-04-16,pending
ORD-100395,P003,West,1.0,2026-06-10,COMPLETED
ORD-100396,P007,East,4.0,2026-05-15,Completed
ORD-100397,P005,South,4.0,2026-04-07,Completed
ORD-100398,P004,South,1.0,2026-03-18,pending
ORD-100399,P007,South,3.0,2026-04-17,Completed
ORD-100400,P006,North,3.0,2026-06-15,completed
ORD-100401,P009,North,5.0,2026-02-18,pending
ORD-100402,P001,South,5.0,2026-01-19,pending
ORD-100403,P004,South,3.0,2026-05-03,COMPLETED
ORD-100404,P001,South,1.0,2026-02-24,cancelled
ORD-100405,P004,South,2.0,2026-06-28,pending
ORD-100406,P006,West,3.0,2026-03-14,COMPLETED
ORD-100407,P005,West,4.0,2026-04-03,COMPLETED
ORD-100408,P004,East,5.0,2026-04-05,Completed
ORD-100409,P003,East,5.0,2026-01-05,pending
ORD-100410,P007,South,2.0,2026-03-17,cancelled
ORD-100411,P010,West,3.0,2026-03-04,COMPLETED
ORD-100412,P008,West,3.0,2026-06-14,Completed
ORD-100413,P003,West,5.0,2026-05-20,completed
ORD-100414,P009,North,1.0,2026-01-09,completed
ORD-100415,P007,South,2.0,2026-02-05,completed
ORD-100416,P004,West,5.0,2026-05-10,pending
ORD-100417,P008,West,,2026-06-18,pending
ORD-100418,P009,North,,2026-04-16,COMPLETED
ORD-100419,P009,North,4.0,2026-03-15,Completed
ORD-100420,P002,South,5.0,2026-01-25,pending
ORD-100421,P005,East,1.0,2026-04-01,COMPLETED
ORD-100422,P007,South,2.0,2026-04-28,COMPLETED
ORD-100423,P002,North,4.0,2026-06-17,cancelled
ORD-100424,P009,North,2.0,2026-05-02,completed
ORD-100425,P008,East,1.0,2026-04-22,pending
ORD-100426,P001,South,5.0,2026-02-28,cancelled
ORD-100427,P005,North,3.0,2026-01-12,pending
ORD-100428,P010,North,3.0,2026-06-18,completed
ORD-100429,P004,South,4.0,2026-05-31,completed
ORD-100430,P005,South,4.0,2026-02-11,pending
ORD-100431,P006,South,1.0,2026-04-09,pending
ORD-100432,P006,North,1.0,2026-01-14,COMPLETED
ORD-100433,P010,West,3.0,2026-06-07,completed
ORD-100434,P005,West,5.0,2026-04-26,cancelled
ORD-100435,P007,West,5.0,2026-02-17,COMPLETED
ORD-100436,P004,North,4.0,2026-01-19,Completed
ORD-100437,P007,East,1.0,2026-03-23,COMPLETED
ORD-100438,P008,East,1.0,2026-04-03,Completed
ORD-100439,P007,West,1.0,2026-04-25,COMPLETED
ORD-100440,P009,East,1.0,2026-01-24,COMPLETED
ORD-100441,P007,North,5.0,2026-04-10,Completed
ORD-100442,P010,South,2.0,2026-05-14,Completed
ORD-100443,P005,East,1.0,2026-03-19,Completed
ORD-100444,P007,West,1.0,2026-03-12,COMPLETED
ORD-100445,P005,West,2.0,2026-03-05,cancelled
ORD-100446,P002,East,,2026-02-04,cancelled
ORD-100447,P006,West,3.0,2026-06-08,cancelled
ORD-100448,P006,South,5.0,2026-04-21,Completed
ORD-100449,P008,South,3.0,2026-03-22,COMPLETED
ORD-100450,P008,South,3.0,2026-05-28,cancelled
ORD-100451,P006,South,5.0,2026-01-30,Completed
ORD-100452,P009,West,2.0,2026-01-07,cancelled
ORD-100453,P005,North,4.0,2026-06-27,cancelled
ORD-100454,P003,East,2.0,2026-06-12,cancelled
ORD-100455,P007,West,4.0,2026-01-19,pending
ORD-100456,P007,West,3.0,2026-05-17,pending
ORD-100457,P010,North,2.0,2026-06-13,COMPLETED
ORD-100458,P003,North,4.0,2026-06-15,COMPLETED
ORD-100459,P007,North,2.0,2026-01-28,pending
ORD-100460,P009,South,4.0,2026-05-23,cancelled
ORD-100461,P010,South,1.0,2026-06-26,cancelled
ORD-100462,P002,West,1.0,2026-03-17,completed
ORD-100463,P003,East,2.0,2026-03-31,pending
ORD-100464,P008,West,4.0,2026-03-31,COMPLETED
ORD-100465,P002,North,1.0,2026-03-18,completed
ORD-100466,P006,North,2.0,2026-06-15,Completed
ORD-100467,P009,South,4.0,2026-02-14,cancelled
ORD-100468,P004,South,4.0,2026-04-14,cancelled
ORD-100469,P001,South,4.0,2026-06-07,cancelled
ORD-100470,P001,South,1.0,2026-06-30,pending
ORD-100471,P002,South,2.0,2026-05-18,cancelled
ORD-100472,P002,West,3.0,2026-03-09,pending
ORD-100473,P007,West,3.0,2026-06-06,COMPLETED
ORD-100474,P008,South,3.0,2026-06-08,pending
ORD-100475,P010,South,2.0,2026-01-22,COMPLETED
ORD-100476,P002,East,5.0,2026-02-16,cancelled
ORD-100477,P007,South,4.0,2026-06-02,Completed
ORD-100478,P008,South,4.0,2026-06-12,COMPLETED
ORD-100479,P003,East,5.0,2026-02-17,completed
ORD-100480,P006,West,4.0,2026-01-03,pending
ORD-100481,P009,West,4.0,2026-06-17,cancelled
ORD-100482,P008,South,1.0,2026-05-06,Completed
ORD-100483,P005,East,3.0,2026-01-09,Completed
ORD-100484,P008,West,1.0,2026-05-25,pending
ORD-100485,P002,East,1.0,2026-03-10,cancelled
ORD-100486,P009,West,2.0,2026-02-25,COMPLETED
ORD-100487,P001,East,1.0,2026-04-26,cancelled
ORD-100488,P002,South,5.0,2026-03-02,COMPLETED
ORD-100489,P010,West,2.0,2026-06-11,Completed
ORD-100490,P004,East,5.0,2026-01-16,pending
ORD-100491,P003,East,3.0,2026-03-24,pending
ORD-100492,P002,West,3.0,2026-02-04,Completed
ORD-100493,P003,South,2.0,2026-03-05,cancelled
ORD-100494,P008,East,4.0,2026-02-06,cancelled
ORD-100495,P002,North,3.0,2026-06-12,COMPLETED
ORD-100496,P008,East,1.0,2026-05-05,cancelled
ORD-100497,P006,West,4.0,2026-01-17,Completed
ORD-100498,P008,East,3.0,2026-03-10,pending
ORD-100499,P010,West,1.0,2026-02-03,completed
ORD-100500,P002,West,,2026-06-10,Completed
ORD-100501,P008,North,4.0,2026-04-27,Completed
ORD-100502,P003,East,3.0,2026-06-16,completed
ORD-100503,P006,North,2.0,2026-03-06,completed
ORD-100504,P007,East,2.0,2026-06-10,cancelled
ORD-100505,P002,North,,2026-06-30,cancelled
ORD-100506,P002,South,4.0,2026-02-03,completed
ORD-100507,P001,East,4.0,2026-06-28,Completed
ORD-100508,P008,South,1.0,2026-01-19,completed
ORD-100509,P006,East,2.0,2026-04-05,Completed
ORD-100510,P002,North,2.0,2026-05-16,cancelled
